Datum,Region_Name,Region_Id,Todesfaelle,Todesfaelle_gesamt
2020-W11,Schleswig-Holstein,01,1,1
2020-W11,Hamburg,02,0,0
2020-W11,Niedersachsen,03,0,0
2020-W11,Bremen,04,0,0
2020-W11,Nordrhein-Westfalen,05,5,5
2020-W11,Hessen,06,0,0
2020-W11,Rheinland-Pfalz,07,0,0
2020-W11,Baden-Württemberg,08,2,2
2020-W11,Bayern,09,1,1
2020-W11,Saarland,10,0,0
2020-W11,Berlin,11,0,0
2020-W11,Brandenburg,12,0,0
2020-W11,Mecklenburg-Vorpommern,13,0,0
2020-W11,Sachsen,14,0,0
2020-W11,Sachsen-Anhalt,15,0,0
2020-W11,Thüringen,16,0,0
2020-W12,Schleswig-Holstein,01,1,2
2020-W12,Hamburg,02,1,1
2020-W12,Niedersachsen,03,1,1
2020-W12,Bremen,04,0,0
2020-W12,Nordrhein-Westfalen,05,1,6
2020-W12,Hessen,06,2,2
2020-W12,Rheinland-Pfalz,07,2,2
2020-W12,Baden-Württemberg,08,19,21
2020-W12,Bayern,09,20,21
2020-W12,Saarland,10,0,0
2020-W12,Berlin,11,1,1
2020-W12,Brandenburg,12,0,0
2020-W12,Mecklenburg-Vorpommern,13,0,0
2020-W12,Sachsen,14,0,0
2020-W12,Sachsen-Anhalt,15,0,0
2020-W12,Thüringen,16,0,0
2020-W13,Schleswig-Holstein,01,3,5
2020-W13,Hamburg,02,5,6
2020-W13,Niedersachsen,03,18,19
2020-W13,Bremen,04,2,2
2020-W13,Nordrhein-Westfalen,05,92,98
2020-W13,Hessen,06,7,9
2020-W13,Rheinland-Pfalz,07,10,12
2020-W13,Baden-Württemberg,08,80,101
2020-W13,Bayern,09,89,110
2020-W13,Saarland,10,2,2
2020-W13,Berlin,11,8,9
2020-W13,Brandenburg,12,1,1
2020-W13,Mecklenburg-Vorpommern,13,1,1
2020-W13,Sachsen,14,9,9
2020-W13,Sachsen-Anhalt,15,2,2
2020-W13,Thüringen,16,5,5
2020-W14,Schleswig-Holstein,01,11,16
2020-W14,Hamburg,02,17,23
2020-W14,Niedersachsen,03,69,88
2020-W14,Bremen,04,4,6
2020-W14,Nordrhein-Westfalen,05,135,233
2020-W14,Hessen,06,47,56
2020-W14,Rheinland-Pfalz,07,20,32
2020-W14,Baden-Württemberg,08,266,367
2020-W14,Bayern,09,281,391
2020-W14,Saarland,10,12,14
2020-W14,Berlin,11,15,24
2020-W14,Brandenburg,12,16,17
2020-W14,Mecklenburg-Vorpommern,13,4,5
2020-W14,Sachsen,14,23,32
2020-W14,Sachsen-Anhalt,15,10,12
2020-W14,Thüringen,16,5,10
2020-W15,Schleswig-Holstein,01,22,38
2020-W15,Hamburg,02,41,64
2020-W15,Niedersachsen,03,96,184
2020-W15,Bremen,04,9,15
2020-W15,Nordrhein-Westfalen,05,248,481
2020-W15,Hessen,06,74,130
2020-W15,Rheinland-Pfalz,07,30,62
2020-W15,Baden-Württemberg,08,281,648
2020-W15,Bayern,09,394,785
2020-W15,Saarland,10,27,41
2020-W15,Berlin,11,27,51
2020-W15,Brandenburg,12,23,40
2020-W15,Mecklenburg-Vorpommern,13,6,11
2020-W15,Sachsen,14,33,65
2020-W15,Sachsen-Anhalt,15,9,21
2020-W15,Thüringen,16,15,25
2020-W16,Schleswig-Holstein,01,21,59
2020-W16,Hamburg,02,37,101
2020-W16,Niedersachsen,03,100,284
2020-W16,Bremen,04,9,24
2020-W16,Nordrhein-Westfalen,05,322,803
2020-W16,Hessen,06,100,230
2020-W16,Rheinland-Pfalz,07,41,103
2020-W16,Baden-Württemberg,08,318,966
2020-W16,Bayern,09,463,1248
2020-W16,Saarland,10,46,87
2020-W16,Berlin,11,40,91
2020-W16,Brandenburg,12,28,68
2020-W16,Mecklenburg-Vorpommern,13,4,15
2020-W16,Sachsen,14,41,106
2020-W16,Sachsen-Anhalt,15,8,29
2020-W16,Thüringen,16,29,54
2020-W17,Schleswig-Holstein,01,32,91
2020-W17,Hamburg,02,50,151
2020-W17,Niedersachsen,03,100,384
2020-W17,Bremen,04,3,27
2020-W17,Nordrhein-Westfalen,05,290,1093
2020-W17,Hessen,06,83,313
2020-W17,Rheinland-Pfalz,07,40,143
2020-W17,Baden-Württemberg,08,270,1236
2020-W17,Bayern,09,347,1595
2020-W17,Saarland,10,15,102
2020-W17,Berlin,11,28,119
2020-W17,Brandenburg,12,34,102
2020-W17,Mecklenburg-Vorpommern,13,1,16
2020-W17,Sachsen,14,41,147
2020-W17,Sachsen-Anhalt,15,6,35
2020-W17,Thüringen,16,20,74
2020-W18,Schleswig-Holstein,01,15,106
2020-W18,Hamburg,02,30,181
2020-W18,Niedersachsen,03,69,453
2020-W18,Bremen,04,3,30
2020-W18,Nordrhein-Westfalen,05,187,1280
2020-W18,Hessen,06,54,367
2020-W18,Rheinland-Pfalz,07,28,171
2020-W18,Baden-Württemberg,08,173,1409
2020-W18,Bayern,09,304,1899
2020-W18,Saarland,10,32,134
2020-W18,Berlin,11,29,148
2020-W18,Brandenburg,12,22,124
2020-W18,Mecklenburg-Vorpommern,13,2,18
2020-W18,Sachsen,14,19,166
2020-W18,Sachsen-Anhalt,15,8,43
2020-W18,Thüringen,16,19,93
2020-W19,Schleswig-Holstein,01,10,116
2020-W19,Hamburg,02,35,216
2020-W19,Niedersachsen,03,44,497
2020-W19,Bremen,04,2,32
2020-W19,Nordrhein-Westfalen,05,134,1414
2020-W19,Hessen,06,42,409
2020-W19,Rheinland-Pfalz,07,19,190
2020-W19,Baden-Württemberg,08,131,1540
2020-W19,Bayern,09,226,2125
2020-W19,Saarland,10,8,142
2020-W19,Berlin,11,11,159
2020-W19,Brandenburg,12,13,137
2020-W19,Mecklenburg-Vorpommern,13,1,19
2020-W19,Sachsen,14,22,188
2020-W19,Sachsen-Anhalt,15,4,47
2020-W19,Thüringen,16,24,117
2020-W20,Schleswig-Holstein,01,3,119
2020-W20,Hamburg,02,16,232
2020-W20,Niedersachsen,03,42,539
2020-W20,Bremen,04,4,36
2020-W20,Nordrhein-Westfalen,05,80,1494
2020-W20,Hessen,06,25,434
2020-W20,Rheinland-Pfalz,07,21,211
2020-W20,Baden-Württemberg,08,100,1640
2020-W20,Bayern,09,136,2261
2020-W20,Saarland,10,7,149
2020-W20,Berlin,11,16,175
2020-W20,Brandenburg,12,13,150
2020-W20,Mecklenburg-Vorpommern,13,1,20
2020-W20,Sachsen,14,9,197
2020-W20,Sachsen-Anhalt,15,6,53
2020-W20,Thüringen,16,21,138
2020-W21,Schleswig-Holstein,01,11,130
2020-W21,Hamburg,02,9,241
2020-W21,Niedersachsen,03,26,565
2020-W21,Bremen,04,4,40
2020-W21,Nordrhein-Westfalen,05,61,1555
2020-W21,Hessen,06,24,458
2020-W21,Rheinland-Pfalz,07,10,221
2020-W21,Baden-Württemberg,08,48,1688
2020-W21,Bayern,09,91,2352
2020-W21,Saarland,10,8,157
2020-W21,Berlin,11,10,185
2020-W21,Brandenburg,12,5,155
2020-W21,Mecklenburg-Vorpommern,13,0,20
2020-W21,Sachsen,14,8,205
2020-W21,Sachsen-Anhalt,15,0,53
2020-W21,Thüringen,16,14,152
2020-W22,Schleswig-Holstein,01,8,138
2020-W22,Hamburg,02,11,252
2020-W22,Niedersachsen,03,22,587
2020-W22,Bremen,04,2,42
2020-W22,Nordrhein-Westfalen,05,33,1588
2020-W22,Hessen,06,17,475
2020-W22,Rheinland-Pfalz,07,3,224
2020-W22,Baden-Württemberg,08,51,1739
2020-W22,Bayern,09,76,2428
2020-W22,Saarland,10,6,163
2020-W22,Berlin,11,7,192
2020-W22,Brandenburg,12,2,157
2020-W22,Mecklenburg-Vorpommern,13,0,20
2020-W22,Sachsen,14,9,214
2020-W22,Sachsen-Anhalt,15,1,54
2020-W22,Thüringen,16,9,161
2020-W23,Schleswig-Holstein,01,2,140
2020-W23,Hamburg,02,2,254
2020-W23,Niedersachsen,03,13,600
2020-W23,Bremen,04,3,45
2020-W23,Nordrhein-Westfalen,05,29,1617
2020-W23,Hessen,06,7,482
2020-W23,Rheinland-Pfalz,07,0,224
2020-W23,Baden-Württemberg,08,40,1779
2020-W23,Bayern,09,49,2477
2020-W23,Saarland,10,3,166
2020-W23,Berlin,11,7,199
2020-W23,Brandenburg,12,3,160
2020-W23,Mecklenburg-Vorpommern,13,0,20
2020-W23,Sachsen,14,3,217
2020-W23,Sachsen-Anhalt,15,1,55
2020-W23,Thüringen,16,9,170
2020-W24,Schleswig-Holstein,01,4,144
2020-W24,Hamburg,02,1,255
2020-W24,Niedersachsen,03,8,608
2020-W24,Bremen,04,2,47
2020-W24,Nordrhein-Westfalen,05,20,1637
2020-W24,Hessen,06,7,489
2020-W24,Rheinland-Pfalz,07,0,224
2020-W24,Baden-Württemberg,08,13,1792
2020-W24,Bayern,09,40,2517
2020-W24,Saarland,10,2,168
2020-W24,Berlin,11,3,202
2020-W24,Brandenburg,12,3,163
2020-W24,Mecklenburg-Vorpommern,13,0,20
2020-W24,Sachsen,14,5,222
2020-W24,Sachsen-Anhalt,15,1,56
2020-W24,Thüringen,16,4,174
2020-W25,Schleswig-Holstein,01,1,145
2020-W25,Hamburg,02,4,259
2020-W25,Niedersachsen,03,4,612
2020-W25,Bremen,04,3,50
2020-W25,Nordrhein-Westfalen,05,17,1654
2020-W25,Hessen,06,9,498
2020-W25,Rheinland-Pfalz,07,3,227
2020-W25,Baden-Württemberg,08,19,1811
2020-W25,Bayern,09,31,2548
2020-W25,Saarland,10,0,168
2020-W25,Berlin,11,3,205
2020-W25,Brandenburg,12,0,163
2020-W25,Mecklenburg-Vorpommern,13,0,20
2020-W25,Sachsen,14,1,223
2020-W25,Sachsen-Anhalt,15,0,56
2020-W25,Thüringen,16,4,178
2020-W26,Schleswig-Holstein,01,0,145
2020-W26,Hamburg,02,0,259
2020-W26,Niedersachsen,03,10,622
2020-W26,Bremen,04,1,51
2020-W26,Nordrhein-Westfalen,05,9,1663
2020-W26,Hessen,06,4,502
2020-W26,Rheinland-Pfalz,07,1,228
2020-W26,Baden-Württemberg,08,8,1819
2020-W26,Bayern,09,29,2577
2020-W26,Saarland,10,4,172
2020-W26,Berlin,11,2,207
2020-W26,Brandenburg,12,2,165
2020-W26,Mecklenburg-Vorpommern,13,0,20
2020-W26,Sachsen,14,1,224
2020-W26,Sachsen-Anhalt,15,1,57
2020-W26,Thüringen,16,3,181
2020-W27,Schleswig-Holstein,01,0,145
2020-W27,Hamburg,02,1,260
2020-W27,Niedersachsen,03,8,630
2020-W27,Bremen,04,3,54
2020-W27,Nordrhein-Westfalen,05,14,1677
2020-W27,Hessen,06,6,508
2020-W27,Rheinland-Pfalz,07,0,228
2020-W27,Baden-Württemberg,08,8,1827
2020-W27,Bayern,09,7,2584
2020-W27,Saarland,10,1,173
2020-W27,Berlin,11,2,209
2020-W27,Brandenburg,12,1,166
2020-W27,Mecklenburg-Vorpommern,13,0,20
2020-W27,Sachsen,14,2,226
2020-W27,Sachsen-Anhalt,15,1,58
2020-W27,Thüringen,16,0,181
2020-W28,Schleswig-Holstein,01,2,147
2020-W28,Hamburg,02,0,260
2020-W28,Niedersachsen,03,7,637
2020-W28,Bremen,04,2,56
2020-W28,Nordrhein-Westfalen,05,18,1695
2020-W28,Hessen,06,2,510
2020-W28,Rheinland-Pfalz,07,1,229
2020-W28,Baden-Württemberg,08,1,1828
2020-W28,Bayern,09,12,2596
2020-W28,Saarland,10,0,173
2020-W28,Berlin,11,2,211
2020-W28,Brandenburg,12,0,166
2020-W28,Mecklenburg-Vorpommern,13,0,20
2020-W28,Sachsen,14,1,227
2020-W28,Sachsen-Anhalt,15,2,60
2020-W28,Thüringen,16,1,182
2020-W29,Schleswig-Holstein,01,0,147
2020-W29,Hamburg,02,1,261
