Berichtsdatum,Faelle_gesamt,Todesfaelle_gesamt,Todesfaelle_neu,Fall-Verstorbenen-Anteil
2020-03-09,1112,2,2,0.0018
2020-03-10,1296,2,0,0.0015
2020-03-11,1567,3,1,0.0019
2020-03-12,2369,5,2,0.0021
2020-03-13,3062,5,0,0.0016
2020-03-14,3795,8,3,0.0021
2020-03-15,4838,12,4,0.0025
2020-03-16,6012,12,0,0.002
2020-03-17,7156,12,0,0.0017
2020-03-18,8198,12,0,0.0015
2020-03-19,10999,20,8,0.0018
2020-03-20,13957,31,11,0.0022
2020-03-21,16662,47,16,0.0028
2020-03-22,18610,55,8,0.003
2020-03-23,22672,86,31,0.0038
2020-03-24,27436,114,28,0.0042
2020-03-25,31554,149,35,0.0047
2020-03-26,36508,198,49,0.0054
2020-03-27,42288,253,55,0.006
2020-03-28,48582,325,72,0.0067
2020-03-29,52547,389,64,0.0074
2020-03-30,57298,455,66,0.0079
2020-03-31,61913,583,128,0.0094
2020-04-01,67366,732,149,0.0109
2020-04-02,73522,872,140,0.0119
2020-04-03,79696,1017,145,0.0128
2020-04-04,85778,1158,141,0.0135
2020-04-05,91714,1342,184,0.0146
2020-04-06,95391,1434,92,0.015
2020-04-07,99225,1607,173,0.0162
2020-04-08,103228,1861,254,0.018
2020-04-09,108202,2107,246,0.0195
2020-04-10,113525,2373,266,0.0209
2020-04-11,117658,2544,171,0.0216
2020-04-12,120479,2673,129,0.0222
2020-04-13,123016,2799,126,0.0228
2020-04-14,125098,2969,170,0.0237
2020-04-15,127584,3254,285,0.0255
2020-04-16,130450,3569,315,0.0274
2020-04-17,133830,3868,299,0.0289
2020-04-18,137439,4110,242,0.0299
2020-04-19,139897,4294,184,0.0307
2020-04-20,141672,4404,110,0.0311
2020-04-21,143457,4598,194,0.0321
2020-04-22,145694,4879,281,0.0335
2020-04-23,148046,5094,215,0.0344
2020-04-24,150383,5321,227,0.0354
2020-04-25,152438,5500,179,0.0361
2020-04-26,154175,5640,140,0.0366
2020-04-27,155193,5750,110,0.0371
2020-04-28,156337,5913,163,0.0378
2020-04-29,157641,6115,202,0.0388
2020-04-30,159119,6288,173,0.0395
2020-05-01,160758,6481,193,0.0403
2020-05-02,161703,6575,94,0.0407
2020-05-03,162496,6649,74,0.0409
2020-05-04,163175,6692,43,0.041
2020-05-05,163860,6831,139,0.0417
2020-05-06,164807,6996,165,0.0424
2020-05-07,166091,7119,123,0.0429
2020-05-08,167300,7266,147,0.0434
2020-05-09,168551,7369,103,0.0437
2020-05-10,169218,7395,26,0.0437
2020-05-11,169575,7417,22,0.0437
2020-05-12,170508,7533,116,0.0442
2020-05-13,171306,7634,101,0.0446
2020-05-14,172239,7723,89,0.0448
2020-05-15,173152,7824,101,0.0452
2020-05-16,173772,7881,57,0.0454
2020-05-17,174355,7914,33,0.0454
2020-05-18,174697,7935,21,0.0454
2020-05-19,175210,8007,72,0.0457
2020-05-20,176007,8090,83,0.046
2020-05-21,176752,8147,57,0.0461
2020-05-22,177212,8174,27,0.0461
2020-05-23,177850,8216,42,0.0462
2020-05-24,178281,8247,31,0.0463
2020-05-25,178570,8257,10,0.0462
2020-05-26,179002,8302,45,0.0464
2020-05-27,179364,8349,47,0.0465
2020-05-28,179717,8411,62,0.0468
2020-05-29,180458,8450,39,0.0468
2020-05-30,181196,8489,39,0.0468
2020-05-31,181482,8500,11,0.0468
2020-06-01,181815,8511,11,0.0468
2020-06-02,182028,8522,11,0.0468
2020-06-03,182370,8551,29,0.0469
2020-06-04,182764,8581,30,0.047
2020-06-05,183271,8613,32,0.047
2020-06-06,183678,8646,33,0.0471
2020-06-07,183979,8668,22,0.0471
2020-06-08,184193,8674,6,0.0471
2020-06-09,184543,8711,37,0.0472
2020-06-10,184861,8729,18,0.0472
2020-06-11,185416,8755,26,0.0472
2020-06-12,185674,8763,8,0.0472
2020-06-13,186022,8781,18,0.0472
2020-06-14,186269,8787,6,0.0472
2020-06-15,186461,8791,4,0.0471
2020-06-16,186839,8800,9,0.0471
